Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY,Utterance-GUL,Response-GUL
شو كيف الجامعة؟,والله وجعت راس كبيرة,ايه اخبار الجامعة؟,والله وجع دماغ كبير,يعني أنت تسافر حول العالم صح؟,نعم.
مش عارف على ايا جامعة بدي قدم,بتفضل الجامعة الخاصة او الرسمية؟,مش عارف اقدم على انهي جامعة,تفضل الجامعة الخاصة ولا الحكومية؟,اعذرني لحظات. عندي إسهال.,تصيل كثير في الصيف.
كيف بدك تولع الصوبا؟,هلأ بجيب حطب مع شويت مازوت,حتولع الدفايا اذاي؟,دلوقتي حجيب حطب مع شوية غاز,"هلا مريم، كيف الحال؟",أمس اختلفت مع داليا.
هيدا اسوء نهار بحياتي عالأكيد,اوف ليش شو صاير؟,ده اسوء يوم في حياتي اكيد,اوف ايه الي حاصل؟,ما أقدر أتحملك خلاص. طفشت من عادات شربك. أنا هطلقك.,لا تسوي كذا يا حبيبتي. أرجوكي أعطيني فرصة. أنا أقسم لك أني ما هشرب مرة ثانية.
مستوى التلوث مرتفع وخطير كتير,صح وما في خطط لتنحل الأزمة,مستوى التلوث مرتفع وخطير جدا,صح و مافيش خطط عشان نحل الأزمة,"أخيراً انتهى الصف. يلا سريع، باسم شكله انتظرنا كثير.",أنا تعبان. ظهري ورقبتي يوجعوني.
شو بتحب نعمل الليلة؟,مش عارف. شو عبالك أنت ؟,تحب نعمل ايه انهردة بليل؟,مش عارف. ايه الي على بالك أنت ؟,إيش سويت في نهاية الأسبوع؟,رحت  مسيرة للاحتباس الحراري. كان جميل لتواجد حول ناس كثير من المهتمين بالبيئة.
ليك بتلزم حدوداك احسن ما كسرلك راسك.,خراس. عروف حالك مع مين عم تحكي,التزم حدودك احسن لافتحلك دماغك.,اخرس. اعرف نفسك بتكلم مع مين,عيد كريسماس سعيد يا بلال!,عيد كريسماس سعيد يا سامي!
اديه وزن الشنطة اللي معك؟,ما بعرف بس اكيد مش اكتر من عشرين كيلو,اديه وزن الشنطة اللي معاك؟,ماعرفش بس اكيد مش اكتر من عشرين كيلو,"يا إيمان، إيش تسوي عشان تمرحي؟",أحب أروح أتابع أفلام. أنت إيش تسوي في وقت فراغك؟
تجي تساعدنا بقطف الزيتون؟,ايه بجي اكيد. بأيا بستان منا نبلش,تيجي تساعدنا في قطف الزيتون؟,اه اجي اكيد. في انهي حنبدأ في انهي بستان,مين كسر القزاز يا ماجد؟,البسة.
ممكن اطلب منك طلب وما تخيبني؟,اذا قدرت اكيد. شو بدك ؟,ممكن اطلب منك طلب وما تكسفنيش؟,لو قدرت اكيد. عايز ايه ؟,تقدر تقرا ذا؟,إيوة. وأنت كمان هتقدر تقرا لو شعرك ما كان طايح على وجهك.
مهضوم استاذ الرياضيات,مش دايما. بحسو جدي كتير,دمه خفيف استاذ الرياضيات,مش دايما. بحسو جاد جدا,"هلا مؤيد، جميل اقابلك هنا. كيف الأمور معاك؟","مو سيئة، شكراً. وأنت؟"
تروح عالصيد بكرا؟,لا مش جاي عبالي,تروح على الصيد بكرا؟,لا مش جاي على بالي,فين أجلس؟,ليش ما تجلس ورا معاي؟
ممكن تعملي هالخدمة؟,شو هيي؟ شو بدك ؟,ممكن تعملي الخدمة ديه؟,ايه هيا؟ عايز ايه؟,نحنا جاهزين صح؟,جاهزين عشان إيش؟
حأعمل شاي اعمل حسابك؟,لا شكرا حبيبي,حأعمل شاي اعمل حسابك معايا؟,لا شكرا حبيبي,إيش رايك بذا؟,"اه، نص نص."
لك ليش مش عم تنقبر ترد؟,لك مش عم اسمعك منيح!,انت مبتردش ليه؟,يا عم مش سامعك كويس!,لا تخاف. اجلس واسترخي.,كيف استرخي؟ أنا مرَّة معصب.
ايا ساعة بتخلص؟,بخلص عل ساعة خمسة,تخلص الساعة كام؟,اخلص على الساعة خمسة,هلا محمد.  كنت قاعد تتصفح الإنترنت لفترة. قاعد تدور إيش؟,"حاجة بخصوص الهاكرز. جالس أسمع الناس يتكلمو عنهم كثير، بس أنا ما أعرف عنهم أي شي."
شو في اخبار اليوم؟,مافي شي كلو عن الأنتخابات,ايه في اخبار انهردة؟,مافيش كله عن الأنتخابات,ما جبت الواجب معاي اليوم.,في العادة أنت تسلمه كويس. إيش المشكلة؟
شي مرة مسافر على السفينة؟,ايه مرة وكانت بتقرف,سافرت قبل كدة على سفينة؟,اه مرة و كانت تقرف,إيش جالس تقرا في مجلة العلوم؟,في كذا مقالة حلوة عن الاكتشافات العلمية الحديثة. قبل شوي خلصت وحدة عن الاستنساخ.
شو منا نعمل,ما فينا نعمل شي,حنعمل ايه,منقدرش نعمل حاجة,مشكور على مساعدتك لي.,أنت بخير؟ ما كان قصدي أحطك في موقف خطير.
شو كتابك المفضل؟,حيالا شي لجبران خليل جبران,ايه كتابك المفضل؟,اي حاجة لجبران خليل جبران,كيف كانت حفلة أمس؟,استمتعت بيها؟
كيف بقدر ساعدك بهل حالة؟,متساعدني حل عني بس!,اقدر اساعدك اذاي بالحالة ديه؟,متساعدنيش سبني في حالي بس!,إيش أكثر شي ما توقعته واجهك في الفضاء؟,ما كنت مستعد لمنظر الأرض لمن رحنا. كان شي عظيم. من الأفق تقدر تشوف المحيطات والقارات بنظرة وحدة بس. ما كنت مستعد لذا الشي. المنظر اتحفر في ذاكرتي.
كيف نقيت المواد تعولك؟,ما نقيتن سجلت الموجود,نقيت المواد بتعتك اذاي؟,ما نقتهمش سجلت الي الموجود,فين رحت أمس؟,رحت ألعب تنس في الحديقة العامة.
حدا الك شي كرمال لون بشرتك؟,ايه كلن عنصريين,حد قلك حاجة عشان لون بشرتك؟,اه كلهم عنصريين,فين موطنك الأصلي؟,"موطني الأصلي في شنغهاي، وهي مكان عالمي جميل."
بتقدر تساعدني اوصل عالصف؟,وين الصف تعولك؟,تقدر تساعدني اوصل الفصل؟,فين الفصل بتاعك؟,إيش قاعد تسوي الحين؟,أشوف التلفزون.
تعا نلعب لعبة,تلعب شطرنج,تعالى نلعب لعبة,تلعب شطرنج,كيف أقدر أخدمك اليوم يا علياء؟,جيت أكلمك اليوم عشان أنا أبغى أتقدم لمنحة.
مين هيدي لي واقفة حد الشباك؟,ما بعرف اول مرة بشوفها,مين ديه الي واقفة جنب الشباك؟,ماعرفش اول مرة اشوفها,سمعت كيف كان الجو بارد أمس؟,سمعت المتكلم في الراديو قال أنها وصلت 18 درجة تحت الصفر.
انا بنصحك تشتريها للسيارة مش ممكن تلاقي احسن,بفكر وبردلك خبر,انا بنصحك تشتري العربية مش ممكن تلاقي احسن منها,حفكر و ابقا اقلك,إيش رايك بقناة التلفزون الجديدة؟ البرامج خايسة صح؟,"أتفق معاك تماماً. البرامج خايسة، عبارة عن تضييع وقت. بس زوجتي تختلف معاي."
شو كيف كان نهارك,عادي حلو ما اشبو شي,ايه اخبار يومك,عادي حلو تمام,إيش فيك يا جمال؟,"ما أحس بخير، يمكن عندي برد."
بتعرف تحكي فرنسي؟,ايه بلبل بالفرنسي,بتعرف تتكلم فرنساوي؟,اه عصفورة في الفرنساوي,شكلك شاحب اليوم.,ما حطيت المكياج اليوم الصباح.
كيف علاقتك بمدير الشغل تعولك؟,ماشي الحال. العلاقة رسمية متل ملازم تكون,علاقتك كويسه بالمدير بتاعك؟,ماشية الدنيا. العلاقة رسمية زي ملازم تكون,"يا سامر، عندك أي أصحاب في لندن؟","إيوة، عندي صاحب قديم اسمه هارون هناك."
بأيا مدرسة حاطت ولادك؟,بالمدرسة الرسمية,في انهي مدرسة حطيت ولادك؟,في المدرسة الحكومية,"ياهو، شكلك مريض!",مؤخراً ما كان عندي أفكار.
بتقدر تنام بعد الضهر؟,ايه كل يوم بنام ساعة اوساعتين,بتعرف تنام بعد الضهر؟,اه كل يوم بنا ساعة او ساعتين,"لو سمحت، شكلك مألوف. كنت تعيش في نيويورك؟",نعم.
شو مابدك تفرجينا عل بيت؟,مبلا اكيد يلا الحقوني,ايه مش عايز تورينا البيت؟,اه طبعا اكيد تعالو ورايا,شكلك فراحانة يا إيلاف. في أي شي جديد؟,إيوة. فزت بالجائزة الأولى في مسابقة الرياضيات.
انا مسافر الخميس على دبي. بتوصيني شي؟,ليش ما خبرتني قبل؟ شو رايح تعمل,انا مسافر الخميس علي دبي. توصيني بحاجة؟,ليه ماقلتليش قبل كدة؟ رايح تعمل ايه,هلا جميلة! اتكلمنا  كثير على الجوال. شي حلو أننا أخيراً تقابلنا على أرض الواقع.,أهلين سيدي. أنا كمان اتشرفت بمقابلتك.
وين هل غيبة عاش مين شافك!,والله صرلي فترة مشغول. انت كيفك شو اخبارك؟,فينك من الغيبة ديه عاش مين شافك!,"والله بقالي فترة مشغول. انت عامل ايه, ايه اخبارك؟",إيش هتسوي بعد ما ترجع من واشنطن؟,هجلس في المدينة.
اليوم مثالي لنعمل جولة بالجنينة,بتصدق مش جاي عبالي اضهر اليوم,اليوم المثالي عشان نعمل جولة في الجنينة,تصدق مش جي على بالي اخرج انهردة,تقدر تقول النتائج؟,مافي مشكلة.
اتصلت فيك مبارح ليش ما رديت؟,كنت عم اتحمم وقت اتصلت,اتصلت بيك امبارح ليه ماردتش؟,كنت بستحمى لما اتصلت,يمكن تجيك فرصة ثانية عند التمثال.,ما أظن. هل حصل مرة رحت وشفت الطابع حقك؟
ايمتى حتخلف مرت خيك؟,مش معروف ايمتىى بس مفروض اخر الشهر,حتخلف امتى مرات اخوك؟,مش معروف امتى بس المفروض اخر الشهر,إيش تبغي تسوي اليوم يا بتول؟ في العادة أنتي تشوفي أفلام؟,أكيد. في العادة أروح السينما.
لوين سافر خيك؟,سافر يشتغل بالسودان,سافر فين اخوك؟,سافر يشتغل في السودان,أحس بالحيرة من خيارات الحمية. ما أدري أي وحدة هتنفع.,معظمهم مو عمليين. ما هيكونو عمليين لصحتك لو اتخطيت الغدا والعشا زي ما هو موصى. أحس خطة تمرين هتكون حاجة فعالة أكثر.
صرلنا من الصبح عم ندرس خلينا نرتاح شوي,ايه معك حق انا تعبت كتير,بقالنا من الصبح بنذاكر خلينا نرتاح شوية,اه معاك حق انا تعبت اوي,أنا زرت الحديقة القطبية اليوم.,هل هي  حديقة الحيوانات بس بحيوانات قطبية؟
افضل محل للسكن هوي راس بيروت,ليش؟ مش غالي كتير؟,افضل مكان للسكن هوا راس بيروت,ليه ؟ مش غالي اوي؟,الوقت يجري بسرعة!,منى وسالم كبرو بسرعة.
بدي روح عالمسمكة اشتري سمك. تروح معي؟,لا شكرا ما بدي روح. ازا في قريدس جيبي معك,عايز اروح على المسمكة اشتري سمك. تيجي معايا؟,لا شكرا مش عايز اروح. لو في جمبري جيبي معاكي,ما أقدر استنى عشان أتقاعد.,وبعدها إيش؟
اهلا! اول مرة بتجي لعنا؟,لا مش اول مرة. انا مشترك هون وهاي بطاقة الأشتراك,اهلا! اول مرة تيجي عندنا؟,لا مش اول مرة. انا مشترك هنا و ديه بطاقة الأشتراك,خلينا نروح مع بعض في عطلة نهاية الأسبوع ذي. ممكن؟,طيب. متى؟
ايا ساعة اجت الكهرباء؟,اليوم ما اجت بالمرة,انهي ساعة جت الكهربا؟,انهردة ماجتش خالص,ممكن اسئلك سؤال؟,تسألني سؤال؟ إيش تبغى تعرف؟
شو بدي اعملك بالجنينة؟,بس اسقي الزريعات. ما تعمل شي غير,اعملك ايه في الجنينة؟,اسقي الزرع بس. ماتعملش حاجة غير كدة,"يا مريم، شي جميل أني قابلتك مرة ثانية. سمعت أنك هترجعي بيتك في الولايات المتحدة.",إيوة. هيروح بكرة. جيت هنا  عشان أقلك مع السلامة
مين هيدي لي اجت معك مبارح؟,اختي ليش ؟,مين ديه الي جت معاك امبارح؟,اختي ليه ؟,اليوم الجو حلو صح؟,يب. يوم جميل.
برأيك ايا مشكلة اجتماعية لازم الحكومة تركز عليها؟,البطالة. في كتير شباب وصبايا قاعدين بلا شغل,في رأيك انهي مشكلة اجتماعية لازم الحكومة تركز عليها؟,البطالة. في شباب كتير و بنات قاعدين من غير شغل,"مساء الخير، ممكن اجلس هنا؟",اتفضل.
عندك بسينة او كلب؟,عندي كلب. ما بحب البسينات,عندك قطة او كلب؟,عندي كلب. مابحبش القطط,كيف المنطقة في بلدك؟,مو كبيرة مرَّة. أكثر بشوي من نص كيلومتر مربع.
يلا فوت منسهر عندي اليوم,ليش غيرت رأيك؟ مش على اساس نروح عالسينيما,يلا خش هنسهر عندي انهردة,ليه غيرت رأيك؟ مش على اساس نروح على السينيما,شوف العنوان -طفل ألفيس ولد في سفينة فضائية. من تجيب الجرائد الشعبية الأخبار ذي؟,دايماً اسئل نفسي ذا السؤال. وكمان اتسائل مين يقرا الأشياء ذي. وبعدين ألقى نفسي جالس اقراهم.
شو كيف كانت المدرسة اليوم؟,بشعة. كتير بكرهها,ايه اخبار المدرسة انهردة؟,وحشة. بكرهها جدا,الجواب صفر! وجع!,نفسي أروح أجلده.
رايح كزدر شوي بالسيارة,ما تتأخر وما تبعد,رايح اتمشي شوية بالعربية؟,ماتتأخرش و ماتبعدش,هلا.,"هلا مريم، أهلين كمال. ما أبغى افتح الموضوع ذا بس الستيريو الجديد، النظام اللي جبته..."
شو بدك تتعشى؟,ولا شي. ما في بنفسي شي,عايز تتعشى ايه؟,ولا حاجة. مانفسيش في حاجة,أمي تحب تسوي قرارا صغيرة مالها داعي.,إيش قصدك؟
ليش مش جايب اكل معك من البيت اليوم,حبيت غير شوي,ليه مش جايب اكل معاك من البيت انهردة,حبيت اغير شوية,"هلا باسم، إيش تسوي؟",جالس أرسم في البيت.
ايا اكتر رياضة مشهورة بالبلد؟,معظم الناس بتحب الفوتبول,ايه اكتر رباضة مشهورة في البلد؟,معظم الناس بتحب الكورة,صاحبك جميل إيش شغله؟,هو أستاذ. بس حالس يكسب شوية فلوس من تصليح السيارات في وقت فراغه.
شكرا على تعبك معي. ما لح انسالك ياها,ولو هيدا اقل واجب,شكرا على تعبك معايا. مش حنسهالك,عيب ده اقل واجب,"هلا جمانة، كيف حالك في ذي الأيام.","هلا منال، الحمد لله كل شي بخير."
ما بدك تنام؟,مش جاييني نوم,مش عايز تنام؟,مش جايلي نوم,ليش ما تنظف غرفتك يا داود؟,ما عندي مزاج حالياً.
جاي ودعك بتوصيني شي؟,يعني اخدت القرار النهائي. ايمتى مسافر,جي اودعك توصيني بحاجة؟,يعني اخدت القرار النهائي. مسافر امتى,أخوي انضم للجيش السنة اللي فات.,كيف شكله؟ هو طويل؟
الطقس بشع كتير اليوم,ايه الهوا كتير حامي,الجو انهردة وحش اوي,اه الهوا جامد جدا,"شوف، فورست جمب في الساعة ستة ونص.",من جد؟ أول مرة كان في سنة 1994. هو فعلاً شي كلاسيكي.
شفت البرق شو قوي!,ايه! ضرب عامود الكهرباء,شفت البرق قوي اذاي!,اه! ضرب عامود الكهربا,ما أحب الجو ذا.,"لمن كنت طفل، كان في جو يقول أنو مافي جو خايس."
وين رحت مشيت؟,هون بالضيعة,مشيت رحت فين؟,هنا في القرية,اليوم يوم إيش؟,"اليوم الاثنين، 27 اكتوبر. على سيرة التاريخ. أنت متى هتروح؟"
كان في عجقة عالطريق؟,لا ابدا ما في حدا,كان في زحمة في الطريق؟,لا خالص مفيش حد,إيش تقرا؟,هذي آخر روايات راي بلو. قصة حلوة.
انت من شو خيفان؟,من المستقبل المجهول,انت خايف من ايه؟,من المستقبل المجهول,تعرف إيش هو الBBS?,أكيد.
عم فكر اشتري سيارة جديدة,ايه الي عندك صارت كتير قديمة,بفكر اشتري عربية جديدة,اه الي عندك بقت قديمة اوي,عند خطط لليوم؟,"لأ، وأنت؟"
خلصت شغل؟,لا بعد عندي كم ورقة لازم اقراهن,خلصت شغل؟,لا لسة عندي كام ورقة لازم اقراهم,كيف أقدر أخدمك؟,أبغى أرجع الكتب ذي.
شو عندك بكرا؟,درس كل النهار,عندك ايه بكرا؟,مذاكرة كل يوم,"لمن الموضوع يكون عن اختيار صندوق ، دايماً هتقرا ""الأداء السابق ليس مؤشرًا على النتائج المستقبلية"" ، تصدق ؟","يمكن الكلام ذا يكون صح، كل شي ممكن. تدري أنو السوق يتغير بسرعة الأيامات ذي. بس لسا أنا مو مصدق أنو الفلوس ذي أسهمها سيئة. بالنسبة لي، سجل السهم يعتبر معيار عشان أقرر هل هشتريه ولا لا. صراحة أبغى أقلل المخاطر للحد الأدنى وأحقق أقصى عوائد."
سوق على مهلك,اكيد ما تعتل هم,سوق على مهلك,اكيد ماتشيلش هم,مو فاهم ليش الناس معصبين في موضوع ديفيد بيكهام. إيش الشي الحلو فيه؟,هو يجذب المعجبين بسبب شيئين.
شو ربحتو او خسرتو الماتش مبارح؟,والله خسرنا و بقوة كمان,ايه كسبتوا ولا خسرتوا الماتش امبارح؟,ولله خسرنا و جامد كمان,تقدر تعرف أيت فريق هو اللي هيفوز؟,صعب تعرف. حالياً النتيجة في صالحنا.
كيف صارت امك؟ سمعت انو مريضة,"الحمدالله، احسن شوي بس بعدا تعبانة",ايه اخبار والدتك؟ سمعت انها تعبانة,"الحمدلله، احسن شوية بس لسة تعبانة",ينفع أتكلم معاك؟,أكيد.
اليوم عرفت انو انقبلت بالشغل اللي كنت مقدم علي,اووه أخيرا صار فينا نقلك مبروك,انهردة عرفت اني اتقبلت في الشغل الي كنت مقدم عليه,اووه اخيرا بقا ممكن نقلك مبروك,البرامج المكتبية زي ويندوز هي من أفضل الاختراعات في عصر المعلومات. لأنها أنقذتنا من تعب كثير وخلت التواصل حول العالم سهل جداً.,"أتفق تماماً. أنا استمتع بالراحة على الرغم من أني لسا مبتدئ في استخدام الاكسل. أحدث الأغراض المكتبية تكون وظيفتها  كتابية أكثر. تجمع بين الفاكس والناسخة والطابعة في شي واحد. توفر مساحة كبيرة، آلة وحدة بدل ثلاثة."
"والله كتير برد، ايمتى بدو يصحا الطقس بقا",المفروض العاصفة يومين و بتخلص,"والله برد جدا، امتى يحرر الجو بقا",المفروض العاصفة يومين و تخلص,مبروك يا سيد عبد الله! أنت فزت بماراثون المدينة.,شكراً. أنا جداً متحمس.
"خلينا نروح عالسينما بكرا، صرلنا زمان","حبيبي اجلا شوي، نحنا آخر الشهر شو نسيت","خلينا نروح السينما بكرا، بقالنا كتير مرحناش","حبيبي اجلها شوية، احنا آخر الشهر نسيت ولا ايه",أنا ما أحب أقرا الكتب الأكاديمية.,"ممكن صحيح، بس قرائتهم مهمة لتوسيع اطلاعك."
شفت كيف صار يلعب مع رفقاتو,ايه حرام صرلو زمان ما شافن,شفت بقا يلعب اذاي مع صحابه,اه حرام بقالو كتير ماشفهمش,أنت زين يا أسامة؟ شكلك شاحب.,أنا كويس يا هدى. كنت بس سهران أمس أشتغل على لغتي الصيني.
عم تدرس بالجامعة او عم تشتغل,صرلي شي ٣ سنين مبلش شغل,انت بتدرس في الجامعة ولا بتشتغل,بقالي حوالي ٣ سنين بادء شغل,وين رايحة يا آنسة؟,أهلاً. كرينشاو وهاوثورن. في حانة الإجازة في ذيك الزاوية.
ياريت ابني بيكبر و بيصير متلك,"نشاالله حبيبتي، بيكبر و بيطلع احسن مني",ياريت ابني يكبر و يبقى زيك,"انشاءالله حبيبتي، يكبر و يطلع احسن مني","يليل، ما ودي أقول كذا بس خلاص صار لازم أروح.","مو مشكلة، متفهم موقفك."
شو عندك مشاريع اليوم,"عم فكر روح زور الماما، زمان ما شفتا",عندك مشاريع ايه انهردة,"بفكر اروح ازور ماما، من زمان ماشفتهاش",هل فكرتي تنتقلي من بيتك يا سارة؟,فكرنا بكذا. بس زوجي ما يقدر يتحمل نفقة الانتقال حالياً. نقدر ننتقل لحي فقير بس ما نبغى الشي ذا.
كيفك حبيبي شو اخبارك,ماشي الحال و انتا,عامل ايه يحبيبي ايه اخبارك,ماشي الحال وانته,منى وجاسم يحتاجو بيت جديد؟,لا. عندهم بيت جديد وراقي.
"كانت طلتك اليوم بتجنن، الكل انبسط",مرسي حبيبتي و انا كنت مبسوطة,"كان منظرك انهردة تجنن، الكل اتبسط",شكرا حبيبتي وانا كنت مبسوطة,أنت زين يا ولد؟,لسا متذكر اسمي.
"تأخر الوقت شوي، يلا خلينا نفل","لسا بكير، بعدا السهر باولا","اتأخر الوقت شوية، يلا خلينا نمشي","لسا بدري، لسا السهرة في اولها",مين أحسن مدرس قابلك؟,"أستاذة خديجة، مدرستي في الصف الرابع."
بعدك عم تشوف نفس البنت,"لا زمان تركنا، ما زبط الموضوع",انت لسة بتشوف نفس البنت؟,"لا من زمان سبنا بعض، ما زبطش الموضوع","يا أمي، هذي لك.",ورود! إيش المناسبة يا حبيبي؟
"كيفو الحلو، زمان ما شفناك","والله كتير مشغول، بتعرف الدني و مشاغلا","عامل ايه الحلو، من زمان مشفنكش","والله مشغول جدا، عارف الدنيا و مشاغلها",عجبتك الحفلة؟,لأ. خاب أملي الصراحة.
"في كتير اشيا عبالي اعملا، بس عم ضل مشغول","الواحد ما بيعرف ايمتا بيموت، ما تخلي شي بنفسك","في حاجات كتير على بالي اعملها، بس بفضل مشغول","الواحد مش عارف امتى حيموت، متخليش حاجة في نفسك",شوف! أبوي مرَّة ثانية. ما تشوفي أنه وسيم؟,"نوعاَ ما، إيوة. إيش رايك نروح مكان أحسن؟ ما أقدر أشوف عدل من هنا."
"شو عم تقرا هالايام، خلصت القصة اللي عطيتك هيي","لا والله لسا، عم بقراها على مهلي","بتقرا ايه اللايام ديه، خلصت القصة الي اديتهالك","لا ولله لسا، بقرا على مهلي",جميلة! أحسن تقول فائقة الجمال. تقدر تتخيل شي أقرب للجمال المثالي من وجهها وشكلها؟,ما أعرف إيش أقدر أتخيل. بس أعترف أني نادراً ما أشوف وجه مبهج زي ذا.
هيدا تلفونك او تلفون الشغل,"تلفون الشغل، مهم ايه؟",ده تلفونك ولا تلفون الشغل,"تلفون الشغل، مهم صح؟",هل ذاك سيد عبد الإله؟,هذا هو قاعد يتكلم.
بكرا عيد ميلادي و بدي اعمل حفلة,"حلو، شو مخطط تعمل، عشو ناوي",بكرا عيد ميلادي و عايز اعمل حفلة,"حلو، مخطط تعمل ايه، ناوي على ايه",أنا متوتر بسبب الاختبار الشفوي.,استرخي. أنا متأكد أنك هتسوي شغل حلو.
"ما تعتل هم، المرة الجاية بتزبط معك","عنجد انو لقيتا كتير صعبة، ما كانت تزبط معي","ماتشلش هم، المرة الجاية حتزبط معاك","بجد لقيتها صعبة جدا، مكانتش تزبط معايا",سمعت أنك بتاخذ دروس في الموسيقى. ما كنت أدري أنك مهتم بها.,لأ أنا مو مهتم. ما أخذت دروس في الموسيقى أبد.
"هلق وصلت عالبيت، عرفت انو بيك كاسر اجرو؟","اوف لا والله، كيف صارت","دلوقتي وصلت على البيت، عرفت ان ابوك كسر رجله؟","اوف لا ولله، عامل ايه دلوقتي",كم تاريخ اليوم؟,ديسمبر 15 . بعد بكرة يوم ميلاد فارس الصغير.
ايمتى ناوي تدفع الفواتير المكسورة عليك,"بركي اول الشهر الجاي ، بتعرف وضع البلد",امتى ناوي تدفع فواتير المكسورة عليك,"يمكن اول الشهر الجي، تعرف وضع البلد",إسماعيل ومريم انفصلو.,من جدك؟
"مرحبا، كيفنا اليوم؟","ماشي الحال، رواق","السلام عليكم، عامل ايه انهردة؟","ماشي الحال، رايقة الدنيا",اليوم كان مرة رهيب.,حتى أنا. تعال زورنا مرة ثانية. ممكن؟
"اهلا و سهلا، كيف بقدر ساعدك",بدي اشتري غسالة بس تكون مستعملة,"اهلا و سهلا، اقدر اساعدك اذاي",عايز اشتري غسالة بس تكون مستعملة,تعرف سالي؟,سالي؟ هي عندها بكالوريوس. مصممة ممتازة. ابتكرت اعلانات شركات كثيرة.
عرس رفيقتي بعد كم يوم و لسا ما جبت فستان,اوف ليس هيا عاملة بحالك,فرح صحبتي بعد كام يوم و لسا ماجبتش فستان,اوف ليه عاملة كدة في نفسها,سمعت عن اللي صار لسالي؟,"لأ، إيش صار؟"
معش تعيديها و تشتري من نفس المحل,"خلص اخر مرة بجيب غراض منو، شي بجرص",متعيدهاش تاني و تشتري من نفس المحل,"خلاص اخر مرة اجيب حاجات من عنده، حاجة تفضح",هل فكرت قبل كذا في تصرفات سلمان؟,أنا اكتشفت أنه خلاص طفش من أخ جميلة. بس هو يحب جميلة. وهي مهمة بالنسبة له.
"استعجلك شوي، اذا هيك بتضل منتاخر","كل شوي بدك تقلي هيك، شو بعمل بطير يعني","استعجلك شوية، لو فضلت كدة حنتأخر","كل شوية تقلي كدة، اعمل ايه اطير يعني",لقيتي شغل ثاني ولا لسا يا سالي؟,لأ ما لقيت. بس في إعلانات حلوة في الجريدة.
انتبه تدعس عالزلمي الي ماشي بنص الطريق,ايه شافو والله ما تخاف,خالي بالك لتدوس الراجل الي ماشي في نص الطريق,اه شايفه والله ماتخفش,"هلا، أنت جديد في الصف؟",نعم. ما أعرف أي أحد في الصف.
"مبين عليك تعبان شوي، شو صاير معك شي",ما بعرف صرلي من مبارح مكركب,"باين عليك تعبان شوية، ايه حاصل معاك حاجة",ماعرفش من امبارح و انا مش مظبوط,"رامي، هذي صاحبتي آنسة منال.","أهلين، اتشرفت بمقابلتك."
ايمت بدك تمرق فرجيك عالصوبيا اللي جبتا جديد,ايمتى ما بناسبك انا كل يوم فاضي ما عندي شي,امتى حتعدي اوريك الدفاية الجديدة الي جبتها,امتى ما يناسبك انا كل يوم فاضي معنديش حاجة,ثلاث ساعات وأنت جالس تطرش.بسبب ذا فاطمة سابتني. كنت أحبها من جد.,أنا آسف يا أنس. روح أتكلم معاها. أنا متأك أنها هتنبسط بشوفتك.
"بنت رفيقتي طالعة كتير حلوة، عيونا خضر و شعرا اسود",ايوا سماالله عليها اكيد بدا تطلع حلوة لاما,"بنت صحبتي طلعت جميلة جدا، عيونها خضرا و شعرها اسود",ايوا اسم الله عليها اكيد حتطلع حلوة لامها,"يا علي، سمعت أنو السفر في الفضاء مّرة خطير. كوارث حصلت. لو السفينة الفضائية خرجت عن السيطرة.",لازم تكون إيجابي. الأمور اتحسنت. لازم تتذكر أنو قبل عقدين من الزمان كانت مخاطر السفر بالقطار بنفس درجة الفظاعة.
ستك و جدك بعدن عايشين,"تيتا ايه، بس جدي عطاك عمرو زمان",ستك و جدك لسة عايشين,"تيتة اه، بس جدي ادانا عمره من زمان","هلا محمد، شفت المبارة أمس؟","لأ، كنت برا البيت. كانت تستاهل المتابعة؟"
"هالايام كيف عم تركض ركض، مبارح كنا صغار و عم نلعب",ايه والله العمر غفلة,"الايام ديه بتجري جري، امبارح كنا صغيرين و بنلعب",اه والله العمر غفلة,"أصحى الساعة ستة صباحاً بس عشان اعلق في زحمة كل تقاطع في طريقي، وبرضو اتأخر على الشغل. حياة خايسة، خلاص طفشت","ريلاكس، الشعب كله طفش من ساعات الزحمة. بس الحياة مو كذا. لازم تاخذ زمام المبادرة وتبدا التغيير."
نسيت انو تسجيل المواد اليوم و سكرو الصفوف اللي بدي آخدا,"شو هالحظ اللي عليك، لو عارف كنت ذكرتك",نسيت ان تسجيل المواد انهردة و قفلوا الفصول الي عايز اخدها!,"ايه الحظ اللي عليك ده، لو عارف كنت فكرتك",عيلتك فيها كم شخص؟,"خمسة.أنا وأمي وأبوي، وفي أختي وأخوي."
"شكرا كتير عالمساعدة اليوم، قدرنا نخلص بكير بفضلك",لا ولا يهمك واجبنا,"شكرا جزيلا عالمساعدة انهردة، قدرنا نخلص بدري بفضلك",لا ولا يهمك واجبنا,أنا مرّة متوتر.,ريلاكس!
كيفنا اليوم ؟,بعد حدا عم يسال هيك سؤال,عامل ايه انهردا؟,لسة في حد بيسال سؤال ذي ده,إيش في؟ ما تحب مصر القديمة؟,صراحة ما أحب التاريخ. مؤخراً كل البرامج صارت عن الأهرامات.
